Brand,BUM
Juniper,SOFIA
Veritas,SOFIA
Arctera,SOFIA
IBM,SOFIA
SoftwareAG,SOFIA
Cloudflare,SOFIA
Ivanti,SOFIA
Quest,SOFIA
One Identity,SOFIA
Cohesity,SOFIA
MIST,SOFIA
Alfabet,SOFIA
Aris,SOFIA
Cumolocity,SOFIA
Forcepoint,Prashant
Everfox,Prashant
Onespan,Prashant
ESET,Prashant
Supermicro,Anjali
Xfusion,Hassan
eaton,Anjali
VERTIV,Tarek
RNM,Anjali
XEROX,Anjali
ubiquiti,Anjali
TP Link,Anjali
R&M,Anjali
Genesys,Prashant
HTC Vive,Shelly
Alaris,Shelly
Quantum,Shelly
Holowits,Hassan
Kunlun,Hassan
Citrix,Hassan
Huawei,Hassan
Sharefile (part of Citrix),Hassan
Sharefile,Hassan
iGEL,Hassan
Oracle,Neelu
Riverbed,Neelu
Trellix,Neelu
Siav,Neelu
Schneider,Neelu
Dell,Tarek
EMC,Tarek
VCE,Tarek
Lenovo PCG,Jinesh & Prashant
Lenovo ISG,Jinesh & Prashant
TrendMicro,Ehab
Rubrik,Ehab
Keysight,Ehab
Broadcom Symantec,Ehab
Splunk,Ehab
Barracuda,Ehab
Vectra,Ehab
RSA,Ehab
NVIDIA,Alexandre
NVIDIA reporting group,Alexandre
DDN,Alexandre
Microsoft CSP,Fahad
Microsoft,Fahad
Suse,Fahad
Acronis,Fahad
AWS,Fahad
Google,Fahad
BitTitan,Fahad
Autodesk,Brent
Archer,Ehab
Baraccuda,Ehab
Broadcom,Ehab
Netwitness,Ehab
