Country,Region
AFGHANISTAN,GCC
AFRICA,QNAL
ALGERIA,QNAL
AUSTRALIA,GCC
AUSTRIA,GCC
BAHRAIN,GCC
BURKINA FASO,QNAL
CAMEROON,QNAL
CHAD,QNAL
CONGO,QNAL
EGYPT,QNAL
ETHIOPIA,GCC
FRANCE,QNAL
GABON,QNAL
GERMANY,GCC
GHANA,QNAL
GREAT BRITAIN (UNITED KINGDOM),GCC
GREECE,GCC
GUINEA,QNAL
HONG KONG,GCC
INDIA,KSA
IRAQ,QNAL
IRELAND,GCC
ITALY,GCC
IVORY COAST,QNAL
JEDDAH,GCC
JORDAN,QNAL
KENYA,GCC
KUWAIT,GCC
LEBANON,QNAL
LIBYA,QNAL
LUXEMBOURG,GCC
MALI,QNAL
MAURITANIA,QNAL
MAURITIUS,QNAL
MOROCCO,QNAL
NETHERLANDS,GCC
NIGERIA,QNAL
OMAN,GCC
PAKISTAN,GCC
PALESTINE,QNAL
QATAR,QNAL
RIYADH,GCC
SAUDI,GCC
SENEGAL,QNAL
SOUTH AFRICA,QNAL
SWITZERLAND,GCC
TANZANIA,QNAL
TOGO,QNAL
TUNISIA,QNAL
UAE,GCC
UGANDA,GCC
UNITED STATES OF AMERICA,GCC
YEMEN,GCC
Turkey,GCC
SINGAPORE,GCC
